time: 2021-03-11 17:43:35.050286        x1: -0.496    y1: 0.112    z1: -0.912
time: 2021-03-11 17:43:35.050286        x2: 0.432    y2: 0.464    z2: -0.816
time: 2021-03-11 17:43:35.342821        x1: -0.48    y1: 0.112    z1: -0.896
time: 2021-03-11 17:43:35.342821        x2: 0.432    y2: 0.464    z2: -0.816
time: 2021-03-11 17:43:35.635984        x1: -0.48    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:35.635984        x2: 0.384    y2: 0.464    z2: -0.832
time: 2021-03-11 17:43:36.074825        x1: -0.48    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:36.074825        x2: 0.384    y2: 0.448    z2: -0.848
time: 2021-03-11 17:43:36.464509        x1: -0.48    y1: 0.112    z1: -0.912
time: 2021-03-11 17:43:36.464509        x2: 0.368    y2: 0.448    z2: -0.848
time: 2021-03-11 17:43:36.903486        x1: -0.48    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:36.903486        x2: 0.384    y2: 0.448    z2: -0.832
time: 2021-03-11 17:43:37.342383        x1: -0.48    y1: 0.112    z1: -0.912
time: 2021-03-11 17:43:37.342383        x2: 0.384    y2: 0.448    z2: -0.832
time: 2021-03-11 17:43:37.781058        x1: -0.48    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:37.781058        x2: 0.384    y2: 0.432    z2: -0.832
time: 2021-03-11 17:43:38.122359        x1: -0.48    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:38.122359        x2: 0.384    y2: 0.448    z2: -0.848
time: 2021-03-11 17:43:38.512401        x1: -0.496    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:38.512401        x2: 0.4    y2: 0.448    z2: -0.816
time: 2021-03-11 17:43:38.902376        x1: -0.48    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:38.902376        x2: 0.4    y2: 0.448    z2: -0.848
time: 2021-03-11 17:43:39.243321        x1: -0.48    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:39.243321        x2: 0.4    y2: 0.464    z2: -0.832
time: 2021-03-11 17:43:39.633812        x1: -0.464    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:39.633812        x2: 0.4    y2: 0.464    z2: -0.976
time: 2021-03-11 17:43:40.072399        x1: -0.496    y1: 0.128    z1: -0.896
time: 2021-03-11 17:43:40.072399        x2: 0.272    y2: 0.352    z2: -0.992
time: 2021-03-11 17:43:40.461674        x1: -0.576    y1: 0.128    z1: -0.832
time: 2021-03-11 17:43:40.461674        x2: 0.176    y2: 0.224    z2: -0.896
time: 2021-03-11 17:43:40.802925        x1: -0.576    y1: 0.128    z1: -0.832
time: 2021-03-11 17:43:40.802925        x2: 0.224    y2: 0.32    z2: -0.976
time: 2021-03-11 17:43:41.096157        x1: -0.576    y1: 0.128    z1: -0.832
time: 2021-03-11 17:43:41.096157        x2: 0.272    y2: 0.336    z2: -0.96
time: 2021-03-11 17:43:41.486432        x1: -0.592    y1: 0.128    z1: -0.832
time: 2021-03-11 17:43:41.486432        x2: 0.192    y2: 0.336    z2: -0.96
time: 2021-03-11 17:43:41.924225        x1: -0.608    y1: 0.112    z1: -0.816
time: 2021-03-11 17:43:41.924225        x2: 0.208    y2: 0.336    z2: -0.992
time: 2021-03-11 17:43:42.216764        x1: -0.592    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:42.216764        x2: 0.16    y2: 0.304    z2: -0.944
time: 2021-03-11 17:43:42.510015        x1: -0.576    y1: 0.128    z1: -0.832
time: 2021-03-11 17:43:42.510015        x2: 0.224    y2: 0.272    z2: -0.928
time: 2021-03-11 17:43:42.900015        x1: -0.576    y1: 0.128    z1: -0.832
time: 2021-03-11 17:43:42.900015        x2: 0.192    y2: 0.336    z2: -0.928
time: 2021-03-11 17:43:43.241269        x1: -0.544    y1: 0.128    z1: -0.848
time: 2021-03-11 17:43:43.241269        x2: 0.304    y2: 0.416    z2: -0.928
time: 2021-03-11 17:43:43.631100        x1: -0.544    y1: 0.128    z1: -0.848
time: 2021-03-11 17:43:43.631100        x2: 0.304    y2: 0.464    z2: -0.864
time: 2021-03-11 17:43:43.971764        x1: -0.56    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:43.971764        x2: 0.32    y2: 0.496    z2: -0.896
time: 2021-03-11 17:43:44.264240        x1: -0.544    y1: 0.128    z1: -0.848
time: 2021-03-11 17:43:44.264240        x2: 0.304    y2: 0.432    z2: -0.864
time: 2021-03-11 17:43:44.557390        x1: -0.544    y1: 0.128    z1: -0.848
time: 2021-03-11 17:43:44.557390        x2: 0.32    y2: 0.464    z2: -0.864
time: 2021-03-11 17:43:44.995616        x1: -0.56    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:44.995616        x2: 0.32    y2: 0.464    z2: -0.848
time: 2021-03-11 17:43:45.336759        x1: -0.56    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:45.336759        x2: 0.32    y2: 0.464    z2: -0.848
time: 2021-03-11 17:43:45.678659        x1: -0.56    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:45.678659        x2: 0.32    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:46.068625        x1: -0.576    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:46.068625        x2: 0.32    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:46.409568        x1: -0.56    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:46.409568        x2: 0.32    y2: 0.464    z2: -0.848
time: 2021-03-11 17:43:46.701801        x1: -0.56    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:46.701801        x2: 0.336    y2: 0.464    z2: -0.848
time: 2021-03-11 17:43:47.043083        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:47.043083        x2: 0.32    y2: 0.464    z2: -0.848
time: 2021-03-11 17:43:47.336157        x1: -0.576    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:47.336157        x2: 0.32    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:47.823770        x1: -0.56    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:47.823770        x2: 0.32    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:48.164641        x1: -0.576    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:48.164641        x2: 0.32    y2: 0.464    z2: -0.848
time: 2021-03-11 17:43:48.506463        x1: -0.56    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:48.506463        x2: 0.304    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:48.945018        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:48.945018        x2: 0.272    y2: 0.432    z2: -0.88
time: 2021-03-11 17:43:49.286259        x1: -0.576    y1: 0.128    z1: -0.832
time: 2021-03-11 17:43:49.286259        x2: 0.288    y2: 0.464    z2: -0.864
time: 2021-03-11 17:43:49.676290        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:49.676290        x2: 0.288    y2: 0.464    z2: -0.864
time: 2021-03-11 17:43:50.067628        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:50.067628        x2: 0.288    y2: 0.464    z2: -0.864
time: 2021-03-11 17:43:50.456529        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:50.456529        x2: 0.288    y2: 0.464    z2: -0.88
time: 2021-03-11 17:43:50.943813        x1: -0.56    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:50.943813        x2: 0.288    y2: 0.464    z2: -0.864
time: 2021-03-11 17:43:51.284798        x1: -0.576    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:51.284798        x2: 0.304    y2: 0.464    z2: -0.864
time: 2021-03-11 17:43:51.674507        x1: -0.576    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:51.674507        x2: 0.304    y2: 0.464    z2: -0.848
time: 2021-03-11 17:43:51.966981        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:51.966981        x2: 0.304    y2: 0.48    z2: -0.864
